Station,Network,Latitude,Longitude,Elevation,SiteName,StartTime,EndTime
BBJI,GE,-7.462603,107.65,615.0,"GEOFON Station GEOFON Station Bungbulang, Garut, Java",2016-09-05T00:00:00,
BKB,GE,-1.1073,116.9048,110.0,"GEOFON Station GEOFON Station Balikpapan, Kalimantan",2009-06-09T00:00:00,
BKNI,GE,0.3262,101.0396,65.0,"GEOFON Station GEOFON Station Bangkinang, Sumatra",2008-04-29T00:00:00,
BNDI,GE,-4.5224,129.9045,16.0,"GEOFON Station Bandaneira, Indonesia",2008-07-04T00:00:00,
CISI,GE,-7.5557,107.8153,544.0,"GEOFON Station GEOFON Station Cisomped, Java",2008-07-21T00:00:00,2015-12-01T00:00:00
FAKI,GE,-2.91925,132.24889,136.0,"GEOFON Station GEOFON Station Fak Fak, Irian Jaya",2008-12-01T00:00:00,
GENI,GE,-2.5927,140.1678,47.0,"GEOFON Station Genyem, Irian Jaya Indonesia",2009-11-26T00:00:00,
GSI,GE,1.3039,97.5755,107.0,"GEOFON Station Gunungsitoli, Nias",2005-10-02T00:00:00,
JAGI,GE,-8.4702,114.1521,171.0,"GEOFON Station GEOFON Station Jajag, Java",2008-07-21T00:00:00,
LHMI,GE,5.2288,96.9472,3.0,"GEOFON Station GEOFON Station Lhokseumave, Sumatra",2008-02-29T00:00:00,
LUWI,GE,-1.0418,122.7717,6.0,"GEOFON Station GEOFON Station Lhokseumave, Sulawesi",2008-03-10T00:00:00,
MMRI,GE,-8.6357,122.2376,137.0,"GEOFON Station GEOFON Station Maumere, Flores",2006-11-09T00:00:00,
MNAI,GE,-4.3605,102.9557,154.0,"GEOFON Station GEOFON Station Manna, Sumatra",2006-07-27T00:00:00,
PLAI,GE,-8.8275,117.7765,125.0,"GEOFON Station Plampang, Sumbawa, Indonesia",2011-03-04T00:00:00,
PMBI,GE,-2.9024,104.6993,25.0,"GEOFON Station Palembang, Sumatra",2009-05-30T00:00:00,
PMBT,GE,-2.927,104.772,30.0,"GEOFON Station Palembang, Sumatra, Indonesia",2005-12-06T00:00:00,2009-05-29T00:00:00
SANI,GE,-2.0496,125.9881,30.0,"GEOFON Station Sanana, Moluccas, Indonesia",2009-12-03T00:00:00,
SAUI,GE,-7.9826,131.2988,110.0,"GEOFON Station Saumlaki, Tanimbar, Indonesia",2009-08-25T00:00:00,
SMRI,GE,-7.04915,110.44067,203.0,"GEOFON Station GEOFON Station Semarang, Java",2006-11-01T00:00:00,
SOEI,GE,-9.7553,124.2672,1047.0,"GEOFON Station GEOFON Station Soe, Timor",2006-12-13T00:00:00,
TNTI,GE,0.7718,127.3667,43.0,"GEOFON Station GEOFON Station Ternate, Indonesia",2007-01-05T00:00:00,
TOLI,GE,1.1214,120.7944,86.0,"GEOFON Station GEOFON Station Tolitoli, Sulawesi",2008-06-30T00:00:00,2012-07-11T00:00:00
TOLI2,GE,1.11119,120.78174,51.0,"GEOFON Station Tolitoli, Sulawesi, Indonesia",2012-07-13T00:00:00,
UGM,GE,-7.9125,110.5231,350.0,"GEOFON Station Wanagama, Indonesia",1995-08-23T00:00:00,
YOGI,GE,-7.8166,110.2949,160.0,"GEOFON Station Yogyakarta, Java",2005-12-06T00:00:00,2007-01-28T00:00:00
